,id,Tweets,Sentiment
16,16,"@MarkCCrowley To make matters even worse, Miller Knoll recently laid off 162 employees. https://t.co/cveyy3XIXV
#layoffs",-1
17,17,"EY to Cut 3,000 US Jobs After Halting Bid to Break Up Firm 

https://t.co/yJM9Jrzw7j   #EY    #ErnstandYoung    #accounting   #consulting    #consultant    #layoffs    #jobcuts    #employees",-1
18,18,"Great piece by ⁦@MagleyJennifer⁩ in ⁦@Forbes⁩

3 Ways Companies Can Stop Gaslighting Workers During Cutbacks And #Layoffs https://t.co/YXHzMSavEK",1
19,19,"@AnheuserBusch 🚨Meanwhile. #Woke #Disney leaving behind a trail of emotional wreckage as company continues the latest round of mass #layoffs that will see a total of 7,000 people across the company’s numerous media properties lose their jobs❗️

Is @AnheuserBusch next 🔥

@GovRonDeSantis 🇺🇸",-1
20,20,"Nektar Therapeutics Announces Strategic Reprioritization and Cost Restructuring Plan 

$NKTR #Layoffs 📈👇

https://t.co/oxHUTLFWDQ via @YahooFinance",0
21,21,"""US to #Slash Headcount"": The #layoffs will affect around 3,000 of the company's #US #employees.  The decision was taken after assessing the impact of current economic #conditions...
https://t.co/t4Q1CUuA6z

https://t.co/THRd5oqelB
https://t.co/ocVGYpLkCf https://t.co/pPJUYKhEzj",0
22,22,"15 Strategies For Preventing Layoffs And Ensuring Job Security In Tough Times

#Layoffs #PreventLayoffs #HumanResources #CompanyCulture #TalentManagement #JobSecurity

https://t.co/SDS4Do2k96",1
23,23,Financial Planning: Helping You See the Big Picture. - https://t.co/rskpXXKpF7      #northropgrumman  #telecom  #humanresource  #layoffs https://t.co/VpIWwqGxWB,0
24,24,"📌 It takes one “I'VE BEEN THERE” to create more clarity and come out stronger than ever.

The Impact Bubble is dedicated to supporting those who need the most #help in these circumstances in a special cohort for #LAYOFFS. 

We'll connect mentors and mentees to:",1
25,25,Have you been recently impacted by layoffs? Or are you looking to support those who have? THIS IS FOR YOU! #layoffs #opportunities https://t.co/wGwV8FfS4e,1
26,26,"I'm a former Microsoft VP of HR. Here are the real reasons why layoffs are happening and how much longer they'll last.  

via @businessinsider https://t.co/IvZjbGNnE5
#Microsoft    #technews   #techindustry   #layoffs   #jobcuts   #employees   #HumanResources   #recruiter https://t.co/sBiW9syVBO",0
27,27,"#NationalDebt - How to handle it? #Layoffs #Unemployment, Cancel #SocialSecurity ? OR Let people loan US money (or raise #taxes) ! https://t.co/9AmaIwBmww",-1
28,28,WI 1848 Forward: #NationalDebt - How to handle it? #Layoffs #Unempl... https://t.co/9AmaIwBmww,0
29,29,@CWoznow #Layoffs and brilliant people that used to work for Big Tech,1
30,30,"Following #layoffs, remaining employees often feel insecure or have survivor's guilt.

Jenna Bayuk, Founder of Kinship Kollective, shares 4 key ways to reassure employees following mass layoffs. #HR #Recruiting #Support

Read here: https://t.co/UbuJOZmP3I https://t.co/rNSjI4s3oC",-1
31,31,"Ernst &amp; Young Layoffs
5% Workforce
3000 Employees
New York

https://t.co/zawzw1AK79

#ErnstYoung #EY #KPMG #Layoffs #Layoffstracker #NewYork",0
32,32,#Layoffs https://t.co/alvesarHLR,0
33,33,"Layoffs handled poorly can be incredibly dehumanizing, and  have longterm consequences for employers.
#Leaders: Here are five ways you can avoid #layoffs, and restore your organization's positive culture.
https://t.co/UZkfIOiCwR https://t.co/o1aBd06txQ",0
34,34,"Former Halo Creative Director Joseph ...

-- Electronic Games | T ...: https://t.co/4pdVdgon0a.

#2022 #2023 #Animation #Collaboration #Developer #Developers #Development #Full #Game #Gaming #GamingIndustry #Hired #Hr #Industry #It #Layoffs #Microsoft #Mobile #News #Play ... https://t.co/3GZFxccfHu",1
35,35,"Former Halo Creative Director Joseph ...

-- Electronic Games | T ...: https://t.co/ehBlZAn2Ms.

#2022 #2023 #Animation #Collaboration #Developer #Developers #Development #Full #Game #Gaming #GamingIndustry #Hired #Hr #Industry #It #Layoffs #Microsoft #Mobile #News #Play ... https://t.co/joOgcCRqa8",1
36,36,"EY to cut 3,000 jobs in the US due to 'overcapacity' in company 

#ErnstYoung #EY #Layoffs 

https://t.co/0LUGkjScyQ via @TheNationalNews",-1
37,37,"Talaris Therapeutics Layoffs
95% Workforce
80 Employees
Boston, MA

https://t.co/VTIg4WHUdx

#Layoffs #Layoffs2023 #Talaris",0
38,38,"Ynsect Layoffs
70 Employees
20% Workforce
Paris, France

https://t.co/tBX8ZRRA2u

#Ynsect #Paris #France #Agri #Layoffs #Layoffstracker",0
39,39,Never been a better time to locate experienced DApp Developers to hire directly for your project.  #layoffs = more talent. But you know that won’t last. Be ahead of the game build your team now #Startups #dAppDevelopers  #blockchaindeveloper #smartcontract,0
40,40,"https://t.co/cTxmDYHvPS
🟧 Moving on from a layoff can be difficult, but there are steps you can take to help get your career back on track.

Read more in our latest blog post 💡
#layoffs #jobsearchtips",1
41,41,"Ernst &amp; Young's U.S. arm said on Monday it was shedding 5% of its workforce, less than a week after the unit's objection torpedoed the global accounting giant's plan to break up its audit and consulting units.

Read more: https://t.co/b8WKtdyMJB

#US #layoffs #EY https://t.co/Rx3yeS7tIe",0
42,42,Shout out to all my friends who had their heads lopped off this weekend during the @BestBuy purge. Stay strong.....and I warned you this was coming. #CD #Layoffs #bestbuy #purge #GetOutWhileYouCan https://t.co/M412mvK65e,0
43,43,"Layoffs are nothing new. But, having an understanding of the past with a plan of action for the future can make all the difference when you're caught in the storm. https://t.co/J4M93uujag #layoffs #layoffs2023 #economy2023 #techindustry",0
44,44,"Addressing the Second Pandemic: Employee Mental Health: Two years into the pandemic, employee burnout continues to rage on.Ã‚Â  https://t.co/Ruhx3kILAD   #layoffs  #oilandgascompanies",-1
45,45,"Breaking News: EY Announces 3,000 Layoffs in the US Amid Industry Turmoil! Find Out What's Next for the Accounting Giant.
https://t.co/w7VrHgdtDe

#EY #Layoffs #AccountingIndustry #Restructuring",-1
46,46,"I’m about to step into something I’ve never done before—I’m about to learn something brand new. Something that I didn’t choose to step into, but something I know I’m going to learn so much from.

#learning #layoffs #somethingnew #becomingalearner https://t.co/YPT1NbZUz8",0
47,47,"If you found this useful, check out the Offboard newsletter at https://t.co/bMmigVUjHy where we help job seekers stay informed with the latest market trends and tools so you can more effectively land your next opportunity. #careers #jobsearch #interview #layoffs",1
48,48,"Job seekers are leveraging AI tools like ChatGPT to increase success. A survey by @resume found 46% use ChatGPT for resumes/cover letters, with 7 in 10 reporting higher response rates from companies. And 59% were hired after applying with ChatGPT materials.  #layoffs https://t.co/WXYByi9i6i",1
49,49,"People look to their leaders to inspire confidence and provide reassurance in times of need. In this article, experienced business leaders share helpful insight into navigating leadership through uncertain times. #besthumancapital #bestbehaviors #layoffs
https://t.co/HtmRCkDDiY",1
50,50,"Layoffs, Hiring Slowdown: Nearly Half of Employees Don’t Plan To Switch Jobs in 2023, Says Report
https://t.co/GSuew4ALet
#Layoffs #Hiring #Slowdown #Employees #Jobs #Switch #Reports",0
51,51,"More than 170,000 tech-sector employees have lost their jobs in 2023, according to @Layoffsfyi - my story for @MarketWatch #layoffs #techlayoffs #layoffs2023  https://t.co/6BKNRAKH4v",-1
52,52,"Have you recently been Laid Off &amp; wondering what do I do now? Here are some important first steps to take toward finding your next career opportunity! #layoffs #careers #jobsearch #hiringnow #techjobs #itjobs #remotejobs #hybridjobs #remotework #HIRINGNOW 
https://t.co/w3iHthzvmV",1
53,53,"Nearly half of Indian workers don't plan to hop jobs as #hiring slows #Layoffs

Read: https://t.co/EwXsVQGxPU… https://t.co/WxG1MNtNA6",0
54,54,5 Things to Know Before Markets Open https://t.co/3IGwTIMF4s | @Investopedia #Merck #TreasurySecretary #JanetYellen #Banks #Fed #CRE #Moderna #BestBuy #Layoffs #Investopedia https://t.co/lSwl7yrENd,0
55,55,"6 Steps Leaders Can Take To Support Their Team Through Layoffs
Too many of us have faced a layoff, but how are you as a leader supporting those who have been laid off?

https://t.co/6tnXydTwI5

#leadership #layoffs #support #companyculture #communication #network",1
56,56,"Massive layoff, hiring slow down: Employees in India choose THIS to cope with crisis – Details

#Layoffs #JobCuts 
https://t.co/Lw19nJCFc8",-1
57,57,"For example, when more employers struggle to make payroll, that's a red flag. When requests for payroll advances increase, that's a red flag! Struggling to meet ACA healthcare affordability rules, that's a red flag too. The mass #layoffs are only what happens in the aftermath.",-1
58,58,"Between #stoctmarket losses and #layoffs: tech companies are in turmoil.

https://t.co/P7fakIMZqg",-1
59,59,"Nearly half of Indian workers don't plan to hop jobs as #hiring slows #Layoffs

Read: https://t.co/hJXu5h58QG https://t.co/rhk00N7OXB",0
60,60,Are #layoffs coming? Should you invoke your inner #entrepreneur? https://t.co/tQO6KdXkZi,0
61,61,"Charles Schwab has announced more #layoffs, as the company continues to integrate w/ TD Ameritrade (via @CitywireRIA ): https://t.co/YbYufbuWv8",-1
62,62,"LinkedIn users report HubSpot layoffs - what does this mean for the all-in-one marketing giant?

Read more: https://t.co/2tHAVIslaj

#techcompanies #hubspot #layoffs #software #marketing #sales #customerservice #contentmanagement #leadgeneration #marketingautomation https://t.co/u6Rn2vF2pi",0
63,63,"Hello All 

Wr are looking for Senior Java dveloper with 5years of experince 

work location : Bangalore 

Interested candidates please share your profile to atrayeem@datatemplate.com

#javadeveloper 
#javadeveloperjobs #helpinghands #layoffs #springftame…https://t.co/zB90FWWbH2",1
64,64,"Never run away from #jobreadiness. Run toward it for a week, thirty days or ninety days. #invest #layoffs #newcomers #students #careerservices #postsecondaryeducation #mentalhealth #emotionalhealth #selfawareness https://t.co/iNFWrrjsC9",0
65,65,#hiring #layoffs #engineering https://t.co/fQYTM5ggrc,0
66,66,"Accenture announced laying off around 19,000 employees in order to cut down on costs and grapple with the present economic conditions. The IT company also delayed hiring of freshers by up to one year.

#Accenture #Layoffs #Hiring #employee https://t.co/U2uEEnGkMf",-1
67,67,"Lots of #layoffs in my industry and honestly think I'd be relieved to get my notice.  

It's probably not going to happen but ... yeah I'd be good with it if it did.

Anyone else feel like this?",1
68,68,"It’s a stressful time for workers with looming #layoffs and concern about a potential #recession. If you are stressed about layoffs in your industry, you should practice “career cushioning”  to help you keep your options open. Learn more about it here:
https://t.co/u3EXEpJnGj",-1
69,69,"Once those #layoffs really start to hit, then we get into the real recession 🚨 

Be ready! Learn skill sets because #ArtificialIntelligence will make most jobs obsolete https://t.co/bbR64dfHWz",-1
70,70,"https://t.co/dScQ1cYSyB
Wells Fargo
Wells Fargo Sets Aside More Money for Potential Bad Loans, Including Office Loans
#wellsfargo #wellsfargobank $wfc $wfb #bac #bofa $bac #bankinglayoffs #bankingjobs #jobs #recession #whitecollarjobs #layoff #layoffs #thelayoff 🤖",-1
71,71,"https://t.co/caqZPeFrbF
National Instruments
Acquisitions usually result in layoffs
#NationalInstruments $NATI #layoff #layoffs #jobcuts #thelayoff #rifs #Electronic #ElectricalEquipment #Austin #TX #Texas 🤖",0
72,72,"https://t.co/vJ1TAuLjQP
Macy's
Constantly understaffed
$M #macysinc #Macys #NewYork #Bloomingdales #Bluemercury #cosmetics #layoff #layoffs #jobcut #joblosses #economy  🤖",0
73,73,"https://t.co/LVzcsTALic
Intel
Too much dead weight?
#intel #intc $intc #hightech #chips #semiconductors #californiajobs #oregonjobs #jobs #recession #layoff #layoffs #thelayoff $IBM #QCOM $QCOM #qualcomm 🤖",-1
74,74,"Credit Suisse: Visitors are discussing potential and/or actual layoffs at Credit Suisse!
See the discussion at https://t.co/eB0Kwy2eRo
#CreditSuisse $CS #Paradeplatz #Zürich #Switzerland #FinancialServices #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",1
75,75,"Adobe: Visitors are discussing potential and/or actual layoffs at Adobe!
See the discussion at https://t.co/Sht505Lo9p
#Adobe $ADBE #SanJose #California #Software #Photoshop #Acrobat #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
76,76,"Pfizer: Visitors are discussing potential and/or actual layoffs at Pfizer!
See the discussion at https://t.co/UiaSe6mE2e
#Pfizer $PFE #NewYork #NewYorkCity #Pharmaceutical #Biotechnology #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
77,77,"Aetna: Visitors are discussing potential and/or actual layoffs at Aetna!
See the discussion at https://t.co/ecSmLZHnB9
#Aetna $AET #Hartford #Connecticut #healthcare #HealthInsurance #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
78,78,"DeVry: Visitors are discussing potential and/or actual layoffs at DeVry!
See the discussion at https://t.co/gpRIZPwwqS
#DeVry $DV #Naperville #Illinois #university #education #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
79,79,"South Univeristy: Visitors are discussing potential and/or actual layoffs at South Univeristy!
See the discussion at https://t.co/NqzfP1Yc0h
#SouthUniveristy #Savannah #Georgia #university #education #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
80,80,"Johnson Controls: Visitors are discussing potential and/or actual layoffs at Johnson Controls!
See the discussion at https://t.co/tGZAaOwPcy
#JohnsonControls $JCI #Cork #Ireland #ClimateControl #FireAlarm #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
81,81,"Shopify: Visitors are discussing potential and/or actual layoffs at Shopify!
See the discussion at https://t.co/c81M3je7Qw
#Shopify $SHOP #Ottawa #Ontario #Canada #Ecommerce #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
82,82,"Twilio: Visitors are discussing potential and/or actual layoffs at Twilio!
See the discussion at https://t.co/IBNppQwYdD
#Twilio $TWLO #SanFrancisco #California #Communications #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
83,83,"Netflix: Visitors are discussing potential and/or actual layoffs at Netflix!
See the discussion at https://t.co/QIHv7U3bbT
#Netflix $NFLX #LosGatos #California #OTT #StreamingPlatform #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
84,84,"https://t.co/eWCm9WocFf
Accenture
People shouldn't be quitting right now
#Accenture $ACN #Dublin #Ireland #ProfessionalServices #Consulting #InformationTechnology #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
85,85,"https://t.co/VBBFzMMOOn
Amazon
Back Amazon CEO hints possible layoff wave in annual company letter. Here’s what he says
#Amazon $AMZN #Seattle #Washington #Arlington #Virginia #ArtificialIntelligence #Ecommerce #DigitalDistribution #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
86,86,"https://t.co/QyRTOQWiwJ
Adobe
This will lead to cuts
#Adobe $ADBE #SanJose #California #Software #Photoshop #Acrobat #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",-1
87,87,"https://t.co/jHVcsnl0WV
Qualcomm
Why Does Qualcomm Rarely File WARN Reports With The State?
#qualcomm $QCOM #QCOM #sandiego #chipsets #layoff #layoffs #jobcut #thelayoff #economy  🤖",0
88,88,"https://t.co/f1QeAPLms9
Union Pacific
Continuation of layoffs
$UNP #unionpacific #Omaha #Nebraska #jobcuts #railroad #railway #norfolksouthern $nsc #csx $CSX #Layoff #layoffs #thelayoff 🤖",0
89,89,"https://t.co/kwFHFQYrWD
Oracle
Work being cut down
#orcl $orcl #oracle #layoffs #layoff #thelayoff #bangalore #burlington #austin #redwoodcity #oraclecx #TechJobs #SAP $SAP #salesforce $CRM $MSFT $IBM 🤖",-1
90,90,"https://t.co/P9QAMSehSX
Quest Diagnostics
I do not recommend working for Quest
#QuestDiagnostics $DGX #layoff #layoffs #jobcuts #thelayoff #rifs #HealthCareProviders #Madison #NJ #NewJersey 🤖",-1
91,91,"https://t.co/NP1tJxLT1R
Optum
Prioritize your needs and set boundaries
#UNH #UnitedHealth $UNH #Optum #Layoff #Layoffs #employment #jobcuts #EdenPrairie #Minnesota #healthcarejobs #healthcare 🤖",0
92,92,"https://t.co/JSjYm07kjV
Charles Schwab
Lots of shady stuff going on here
#CharlesSchwab $SCHW #Westlake #Texas #financialservices #commercialbanking #personalbanking #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
93,93,"https://t.co/MXus82eva8
Progressive
What are your arguments?
#Progressive $PGR #layoff #layoffs #jobcuts #thelayoff #rifs #Insurance #NonLife #Cleveland #OH #Ohio 🤖",-1
94,94,"https://t.co/A8KwEoOuez
Bass Pro Shops
Forbes article
#BassProShops #Springfield #Missouri #Retail #Hunting #Fishing #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
95,95,"https://t.co/VaeUihmCT2
Staples
Don't scare people for no reason
$SPLS #Staples $ODP $OMX $AMZN $USTR #OfficeDepot #Amazon #Layoff #Layoffs #JobCuts #Framingham #Seattle #Massachusetts #Westminister #Lincolnshire 🤖",0
96,96,"https://t.co/vywqO9JHqr
AT&amp;T
Layoffs next week
#att #attandt #telco #telcolayoffs #telecom $t #jobs #recession #whitecollarjobs #layoff #layoffs #thelayoff 🤖",0
97,97,"https://t.co/RxuRgLJD56
Amazon
Amazon wants us to quit
#Amazon $AMZN #Seattle #Washington #Arlington #Virginia #ArtificialIntelligence #Ecommerce #DigitalDistribution #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
98,98,"https://t.co/eYJNoojMBB
Best Buy
Layoffs are continuing
#BestBuy $BBY #StPaul #Minnesota #Retail #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",1
99,99,"https://t.co/ZnYZCReJHh
United States Layoffs
David's Bridal layoffs 2023
#UnitedStatesLayoffs #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",1
100,100,"https://t.co/Keo7kon8Dy
Microsoft
It's been two weeks without layoffs
#layoff #layoffs $MSFT #microsoft #msft #powerbi #microsoftconsulting #itconsulting #msdynamics #microsoftjobs #redmond 🤖",0
101,101,"Suncor Energy: Visitors are discussing potential and/or actual layoffs at Suncor Energy!
See the discussion at https://t.co/vGjQDbguix
#SuncorEnergy $SU #Calgary #Alberta #Canada #OilandGas #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",1
102,102,"ATOS: Visitors are discussing potential and/or actual layoffs at ATOS!
See the discussion at https://t.co/gVgiOothtS
#ATOS $ATO #Bezons #France #InformationTechnology #Consulting #Outsourcing #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
103,103,"Kohl's: Visitors are discussing potential and/or actual layoffs at Kohl's!
See the discussion at https://t.co/1JIvqUOMWY
#Kohls $KSS #MenomoneeFalls #Wisconsin #Retail #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
104,104,"Best Buy: Visitors are discussing potential and/or actual layoffs at Best Buy!
See the discussion at https://t.co/a4kAEokbwY
#BestBuy $BBY #StPaul #Minnesota #Retail #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",1
105,105,"DIRECTV: Visitors are discussing potential and/or actual layoffs at DIRECTV!
See the discussion at https://t.co/LMkxQfgne1
#DIRECTV $DTV #ElSegundo #California #ProgrammingDistributor #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
106,106,"Goldman Sachs: Visitors are discussing potential and/or actual layoffs at Goldman Sachs!
See the discussion at https://t.co/XXQZl68tnQ
#GoldmanSachs $GS #NewYork #NewYorkCity #FinancialServices #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
107,107,"Siemens: Visitors are discussing potential and/or actual layoffs at Siemens!
See the discussion at https://t.co/O8EtQkCwaq
#Siemens $SIE #Berlin #Munich #Germany #Conglomerate #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
108,108,"Williams Cos.: Visitors are discussing potential and/or actual layoffs at Williams Cos.!
See the discussion at https://t.co/VKvoQ0NtPD
#WilliamsCos. $WMB #Tulsa #Oklahoma #Petroleum #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
109,109,"Newpark Resources: Visitors are discussing potential and/or actual layoffs at Newpark Resources!
See the discussion at https://t.co/BtDjM9wbLA
#NewparkResources $NR #Woodlands #Texas #PetroleumInstitute #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
110,110,"Lockheed Martin: Visitors are discussing potential and/or actual layoffs at Lockheed Martin!
See the discussion at https://t.co/SWEubCeOUX
#LockheedMartin $LMT #Bethesda #Maryland #Aerospace #Defense #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
111,111,"https://t.co/TA8BbSBlS7
T-Mobile
Are more layoffs planned for this month?
#layoff #layoffs #jobcut #tmobile #sprint $tmus $s #telcos #verizon #att #telecom #mobile #telcojobs #telecomjobs #jobs #recruitng #Techjobs $vz 🤖",0
112,112,"https://t.co/2AVeqfTS7R
Honeywell
Do less, live longer
#Honeywell $HON #HON #Layoff #Layoffs #Redundancy #JobCut #JobCuts #Recession #Jobs #JobsGrowth #Aerospace #Resideo #Charlotte #phoenix #glendale 🤖",0
113,113,"https://t.co/2jJxvGQAOT
MetLife
How is HR defining “employee care”?
#MetLife $MET #NewYorkCity #NewYork #FinancialServices #Insurance #Annuities #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
114,114,"https://t.co/Xsqnutk68S
CDK Global
Any news on supposedly confirmed layoffs?
$CDK #CDK #CDKGLOBAL #HoffmanEstates #Illinois #Software #automotiveretail #Layoff #Layoffs #retailtech #retail #thelayoff #layoffs #layoff #jobcuts 🤖",0
115,115,"https://t.co/mKuZt7ByyI
IBM
It's time to see what other options are out there
#IBM $IBM #TheLayoff #Layoffs #Layoff #Armonk #NY #ArmonkNY #JobCut #ITLayoffs #ITJOBCuts $ACN $XRX 🤖",0
116,116,"https://t.co/LgragWQxOM
Citrix
Six months later, I'm doing much better
#CITRIX $CTXS #layoff #layoffs #redundancy #FortLauderdale #florida #vmware #cisco #wrike #virtualization #cloud #economy #jobcuts 🤖",1
117,117,"https://t.co/ygBIawH89n
Bills
Layoffs talk amid good results
#Billscom #layoff #layoffs #jobcuts #thelayoff #rifs #Banks #Banking #Finance #BankingServices #FinancialServices 🤖",1
118,118,"https://t.co/mCVQldOI90
Microsoft
I'm a former Microsoft VP of HR. Here are the real reasons why layoffs are happening and how much longer they'll last.
#layoff #layoffs $MSFT #microsoft #msft #powerbi #microsoftconsulting #itconsulting #msdynamics #microsoftjobs #redmond 🤖",0
119,119,"https://t.co/kBH6rnun1v
ALDI
Store closings
#Aldi #layoff #layoffs #jobcuts #thelayoff #rifs #food #rtail 🤖",0
120,120,"$CLOV Clover Health Announces Business Transformation Initiatives to Accelerate Path to Profitability  

$CLOV 📉👇 #Layoffs 

https://t.co/GosVYtBA5p",0
121,121,"https://t.co/8stedRX7rT
McKesson
How often does McKesson have layoffs?
#McKesson $MCK #Irving #Texas #Healthcare #MedicalTechnology #Pharmaceuticals #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
122,122,"https://t.co/vckBuJAer9
AT&amp;T
We need leaders
#att #attandt #telco #telcolayoffs #telecom $t #jobs #recession #whitecollarjobs #layoff #layoffs #thelayoff 🤖",0
123,123,"https://t.co/4pEnvb9vtx
Best Buy
Here we go
#BestBuy $BBY #StPaul #Minnesota #Retail #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",1
124,124,"Novartis: Visitors are discussing potential and/or actual layoffs at Novartis!
See the discussion at https://t.co/Rf0DTR26A1
#Novartis $NVS #Cambridge #Massachusetts #Pharmaceuticals #diagnostics #vaccines #PharmaceuticalDrugs #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
125,125,"FedEx: Visitors are discussing potential and/or actual layoffs at FedEx!
See the discussion at https://t.co/G4txskyV2V
#FedEx $FDX #Memphis #Tennessee #Ecommerce #LogisticsServices #FreightTransportation #ExpressDelivery #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
126,126,"Ernst and Young: Visitors are discussing potential and/or actual layoffs at Ernst and Young!
See the discussion at https://t.co/umnOTL6wuk
#ErnstandYoung #London #England #ProfessionalServices #StrategyConsulting #FinancialAdvisory #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
127,127,"Cigna: Visitors are discussing potential and/or actual layoffs at Cigna!
See the discussion at https://t.co/91NufzhtVi
#Cigna $CI #Bloomfield #Connecticut #HealthcareServices #LifeInsurance #HealthInsurance #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
128,128,"Dun and Bradstreet: Visitors are discussing potential and/or actual layoffs at Dun and Bradstreet!
See the discussion at https://t.co/326fTYLKcS
#DunandBradstreet $DNB #Jacksonville #Florida #DataAnalytics #Sales #Marketing #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
129,129,"Quicken Loans: Visitors are discussing potential and/or actual layoffs at Quicken Loans!
See the discussion at https://t.co/749Q5BHHN4
#QuickenLoans #RKT #Detroit #Michigan #FinancialServices #MortgageFinance #thelayoff #layoffs #layoff #jobcuts #rifs 🤖",0
